highway,car,1,560815,motorway
highway,car,1,560816,motorway_link
highway,car,1,560830,motorway_junction
highway,car,1,560831,trunk
highway,car,1,560832,trunk_link
highway,car,1,560833,primary
highway,car,1,560834,primary_link
highway,car,1,560835,secondary
highway,car,1,560836,secondary_link
highway,car,1,560837,tertiary
highway,car,1,560838,residential
highway,car,1,560839,living_street
highway,car,1,560840,service
highway,car,1,560841,track
highway,car,1,560842,byway
highway,car,1,560843,unclassified
highway,car,1,560844,road
highway,walk,1,560846,motorway
highway,walk,1,560847,motorway_link
highway,walk,1,560848,trunk
highway,walk,1,560849,trunk_link
highway,walk,1,560850,primary
highway,walk,1,560851,primary_link
highway,walk,1,560852,secondary
highway,walk,1,560853,secondary_link
highway,walk,1,560854,tertiary
highway,walk,1,560855,tertiary_link
highway,walk,1,560856,residential
highway,walk,1,560857,unclassified
highway,walk,1,560858,road
highway,walk,1,560859,living_street
highway,walk,1,560860,service
highway,walk,1,560861,track
highway,walk,1,560862,pedestrian
highway,walk,1,560863,raceway
highway,walk,1,560864,service
highway,walk,1,560865,rest_area
highway,walk,1,560866,bus_guideway
highway,walk,1,560867,path	
highway,walk,1,560868,cycleway
highway,walk,1,560869,footway
highway,walk,1,560870,bridleway
highway,walk,1,560871,byway
highway,walk,1,560872,steps
highway,walk,1,560873,mini_roundabout
highway,walk,1,560874,crossing
junction,walk,1,560875,roundabout
highway,walk,1,560876,ford
junction,car,1,560877,roundabout
highway,car,1,560878,ford
highway,bike,0,560879,trunk
highway,bike,1,560880,primary
highway,bike,1,560881,pedestrian
highway,bike,0,560882,bridleway
highway,bike,1,560883,secondary_link
highway,bike,1,560884,tertiary
highway,bike,1,560885,mini_roundabout
highway,bike,1,560886,primary_link
highway,bike,1,560887,residential
highway,bike,0,560888,motorway_link
highway,bike,1,560889,cycleway
highway,bike,1,560890,secondary
highway,bike,1,560891,living_street
highway,bike,0,560892,bus_guideway
highway,bike,1,560893,track
highway,bike,1,560894,ford
highway,bike,0,560895,motorway
highway,bike,1,560896,tertiary_link
junction,bike,1,560897,roundabout
highway,bike,0,560898,trunk
highway,bike,1,560899,service
highway,bike,1,560900,path
highway,bike,0,560901,trunk_link
highway,bike,1,560902,byway
highway,bike,1,560903,rest_area
highway,bike,1,560904,footway
highway,bike,1,560905,unclassified
highway,bike,0,560906,steps
highway,bike,1,560907,crossing
highway,bike,1,560908,raceway
highway,bike,1,560909,road
